etf_code,date,datetime,minute_idx,fwd_ret_1m,horizon_min,pred_ret,pred_dir,confidence,signed_ret_bps,net_signed_ret_bps,fwd_ret_2m,fwd_ret_3m,fwd_ret_4m,fwd_ret_5m,breadth_diff_1,ret_oc,gap_abs,open30_flip_rate,open30_abs_bdiff_mean,open30_trendness,pred_sign,breadth_sign,breadth_align,conf_q,shock_q,flip_q,bdiff_q,trend_min,gap_q,conf_thr,shock_thr,flip_thr,bdiff_thr,gap_thr
510300.XSHG,2024-09-02,2024-09-02 13:43:00,162,,5,0.001345313697045805,1.0,0.0014045980350224406,0.0,-6.0,,,,0.0,207.0,-0.0029806281381377893,0.09923636224836407,0.5333333333333333,1460.3793103448277,0.3333333333333201,1.0,1.0,True,0.99,0.9,0.7,0.9,0.0,0.0,0.001398890659952637,2024.5999999999997,0.6333333333333333,1933.6724137931033,
510300.XSHG,2024-09-02,2024-09-02 14:30:00,209,,5,0.001458599909013692,1.0,0.0015228764641164484,0.0,-6.0,,,,0.0,96.0,-0.0029895388483660483,0.0551771001589409,0.5333333333333333,1460.3793103448277,0.3333333333333201,1.0,1.0,True,0.99,0.9,0.7,0.9,0.0,0.0,0.001398890659952637,2024.5999999999997,0.6333333333333333,1933.6724137931033,
510300.XSHG,2024-09-09,2024-09-09 10:39:00,68,,5,0.0014466450234378065,1.0,0.0015103028240007175,0.0,-6.0,,,,0.0,463.0,-0.0030534374868902317,0.04266904839098907,0.5333333333333333,1421.448275862069,0.20000000000000134,1.0,1.0,True,0.99,0.9,0.7,0.9,0.0,0.0,0.0014022273311698923,2024.5999999999997,0.6333333333333333,1933.6724137931033,
510300.XSHG,2024-09-09,2024-09-09 13:44:00,163,,5,0.0015816510409981904,1.0,0.0016512496121035725,0.0,-6.0,,,,0.0,667.0,-0.003062789530545767,0.21624184424715687,0.5333333333333333,1421.448275862069,0.20000000000000134,1.0,1.0,True,0.99,0.9,0.7,0.9,0.0,0.0,0.0014022273311698923,2024.5999999999997,0.6333333333333333,1933.6724137931033,
510300.XSHG,2024-09-11,2024-09-11 11:12:00,101,,5,0.0014764987857054832,1.0,0.0015409929777156013,30.72199036970059,24.72199036970059,,,,0.003072199036970059,539.0,-0.0030721990369701403,0.08091533629187211,0.5666666666666667,1545.448275862069,1.0,1.0,1.0,True,0.99,0.9,0.7,0.9,0.0,0.0,0.0014074490407007406,1800.1999999999996,0.6233333333333333,2055.4137931034484,
510300.XSHG,2024-09-11,2024-09-11 13:30:00,149,,5,0.0013950218636131014,1.0,0.0014559571036561112,30.72199036970059,24.72199036970059,,,,0.003072199036970059,109.0,-0.0030721990369701403,0.04555525194342202,0.5666666666666667,1545.448275862069,1.0,1.0,1.0,True,0.99,0.9,0.7,0.9,0.0,0.0,0.0014074490407007406,1800.1999999999996,0.6233333333333333,2055.4137931034484,
510300.XSHG,2024-09-20,2024-09-20 10:23:00,52,,5,0.0013686663063306322,1.0,0.0014288775590047644,30.72199036970059,24.72199036970059,,,,0.003072199036970059,1476.0,-0.0030721990369701403,0.04478032106501064,0.6333333333333333,1698.2758620689656,1.0,1.0,1.0,True,0.99,0.9,0.7,0.9,0.0,0.0,0.001416763364016198,1941.2,0.6666666666666666,2055.4137931034484,
510300.XSHG,2024-09-20,2024-09-20 13:02:00,121,,5,0.001403165413498465,1.0,0.0014648943731908135,0.0,-6.0,,,,0.0,1817.0,-0.0030721990369701403,0.06811823045900946,0.6333333333333333,1698.2758620689656,1.0,1.0,1.0,True,0.99,0.9,0.7,0.9,0.0,0.0,0.001416763364016198,1941.2,0.6666666666666666,2055.4137931034484,
510300.XSHG,2024-09-23,2024-09-23 11:01:00,90,,5,0.0014292073856810878,1.0,0.001492441557080195,30.349036951538896,24.349036951538896,,,,0.0030349036951538896,162.0,-0.003034903695153936,0.012262213386626804,0.43333333333333335,1744.5862068965516,0.4293174756733052,1.0,1.0,True,0.99,0.9,0.7,0.9,0.0,0.0,0.0014189414306075318,1829.4,0.6333333333333333,2055.4137931034484,
510300.XSHG,2024-09-23,2024-09-23 14:06:00,185,,5,0.0013600637254656425,1.0,0.0014202386892892575,30.44142381228273,24.44142381228273,,,,0.003044142381228273,161.0,-0.003044142381228244,0.11599880721673214,0.43333333333333335,1744.5862068965516,0.4293174756733052,1.0,1.0,True,0.99,0.9,0.7,0.9,0.0,0.0,0.0014189414306075318,1829.4,0.6333333333333333,2055.4137931034484,
