signal,config,hold,th_long,scaled,ret,sharpe,dd,wr,avg_bps,trades,trades_per_day
breadth_cw_resid_ew,h5_L0.7_LO_1x,5,0.7,False,-0.4208571969789423,-55.80774880751508,-0.4161520115177777,0.02,-54.46016370843323,1230,12.3
neg_breadth_resid,h5_L0.5_LO_1x,5,0.5,False,-0.42427057371918997,-56.79552506875417,-0.4213225760665861,0.01,-55.04820588558855,1261,12.61
top30_breadth_resid,h5_L0.7_LO_1x,5,0.7,False,-0.42719469196154747,-57.45073701400977,-0.4239559777030507,0.02,-55.554638355063965,1207,12.07
top30_breadth_resid,h5_L0.5_LO_1x,5,0.5,False,-0.4313284613951611,-58.38668728578889,-0.42848354914009523,0.01,-56.27496325768922,1261,12.61
breadth_ew_resid_cw,h5_L0.5_LO_1x,5,0.5,False,-0.4222708726599037,-59.54064939334032,-0.4192822692159872,0.01,-54.704532463714884,1188,11.88
breadth_top50,h5_L0.7_LO_1x,5,0.7,False,-0.42102453690638375,-60.588143013145014,-0.41714666782568766,0.01,-54.490648269128,1256,12.56
breadth_bottom200,h5_L0.5_LO_1x,5,0.5,False,-0.4245168673366543,-60.649416037557906,-0.42102375422228966,0.01,-55.09214432264598,1257,12.57
breadth_cw_resid_ew,h5_L1.0_LO_1x,5,1.0,False,-0.4134211227117687,-61.74671955658916,-0.40964726254002803,0.0,-53.19376380785874,1233,12.33
breadth_resid_ew,h5_L0.5_LO_1x,5,0.5,False,-0.42544657774078554,-63.07893801603426,-0.42221142930052913,0.01,-55.253650646214226,1169,11.69
breadth_resid_ew,h5_L0.7_LO_1x,5,0.7,False,-0.42450012411682114,-64.77219626222815,-0.42074239141769465,0.0,-55.09047783035765,1181,11.81
top30_resid_cw,h5_L0.7_LO_1x,5,0.7,False,-0.4293461192336311,-70.58916778993944,-0.4261075683086559,0.01,-55.932564679616924,1242,12.42
breadth_top50,h5_L0.5_LO_1x,5,0.5,False,-0.4238721648499518,-71.32622431576938,-0.420749490972363,0.0,-54.983591077579426,1295,12.95
top30_resid_cw,h5_L0.5_LO_1x,5,0.5,False,-0.42577241513989217,-71.39407415878571,-0.4226740885607544,0.01,-55.31208129768645,1174,11.74
intensity_ew_resid,h3_L0.7_LO_1x,3,0.7,False,-0.4243448814071653,-78.11456756099183,-0.4204990532383257,0.01,-55.06641744968568,1254,12.54
breadth_top50,h3_L0.5_LO_sc,3,0.5,True,-0.43911783475306077,-82.30798189968542,-0.4353545114054087,0.01,-57.65162710116168,1133,11.33
breadth_bottom200,h3_L0.5_LO_sc,3,0.5,True,-0.43583919955722583,-84.74337995704794,-0.43262012556514506,0.01,-57.072566692312606,1230,12.3
spread_resid_cw,h3_L0.7_LO_1x,3,0.7,False,-0.4267518934206679,-88.63519515012057,-0.4235691652522876,0.01,-55.48438536818612,1285,12.85
breadth_top50,h3_L0.7_LO_1x,3,0.7,False,-0.43036699814892876,-91.37768244299147,-0.42708506855844697,0.01,-56.11366634925883,1155,11.55
breadth_top30,h3_L0.7_LO_1x,3,0.7,False,-0.42934294269052564,-91.5189520422992,-0.42603969305800793,0.0,-55.93509477484978,1168,11.68
neg_breadth_resid,h3_L0.7_LO_1x,3,0.7,False,-0.42554510499019105,-98.38233993630374,-0.42252134592367363,0.0,-55.27617356769332,1165,11.65
breadth_spread,h3_L0.7_LO_1x,3,0.7,False,-0.43675546371379503,-106.75456642717758,-0.43378946893023995,0.0,-57.23619797907091,1309,13.09
breadth_deficit,h3_L0.7_LO_1x,3,0.7,False,-0.43173535776080574,-116.3536259053261,-0.42842827493362345,0.0,-56.35454591737012,1281,12.81
bot200_resid_cw,h3_L0.7_LO_1x,3,0.7,False,-0.4382055568090131,-117.38522065418486,-0.43388123136001144,0.0,-57.49307833245009,1261,12.61
top30_resid_cw,h3_L0.7_LO_1x,3,0.7,False,-0.42720154850996006,-124.08720708256551,-0.424236035477778,0.0,-55.56473815482064,1250,12.5
breadth_cw_resid_ew,h3_L0.7_LO_1x,3,0.7,False,-0.4359653741718241,-128.69237617015574,-0.4323829773692792,0.0,-57.097922382590454,1232,12.32
top30_breadth_resid,h3_L0.7_LO_1x,3,0.7,False,-0.4362534499536108,-129.2969771271692,-0.431855654916386,0.0,-57.14873503701547,1133,11.33
deficit_resid_cw,h3_L0.7_LO_1x,3,0.7,False,-0.42690294583220656,-136.05769063106456,-0.4236426457057668,0.0,-55.51332477799954,1311,13.11
breadth_resid_ew,h3_L0.7_LO_1x,3,0.7,False,-0.4323767546588152,-138.15608766569272,-0.42938857946340203,0.0,-56.4676593840004,1240,12.4
breadth_bottom200,h3_L0.7_LO_1x,3,0.7,False,-0.4327558850205748,-147.30720318380853,-0.4298917793976903,0.0,-56.53433847597833,1290,12.9
breadth_ew_resid_cw,h3_L0.7_LO_1x,3,0.7,False,-0.4369938570880685,-157.2551806061105,-0.4340224684829832,0.0,-57.28016904329442,1240,12.4
breadth_resid_cw,h3_L0.7_LO_1x,3,0.7,False,-0.4318194736785337,-175.3170969809012,-0.42821074469709286,0.0,-56.37085933702987,1194,11.94
