label,hold,th_long_mult,th_short_mult,scaled,ret,ann,sharpe,dd,wr,avg_bps,trades,trades_per_day
h5_L0.5_S1.0_sc,5,0.5,1.0,True,51.72774351766445,14699.592204194123,16.05472888925414,-0.02296039489094215,0.73,412.01150617511774,1878,18.78
h2_L0.5_LO_1x,2,0.5,999.0,False,3.7906877734021895,43.31623316364517,15.925888435971247,-0.01149377854817768,0.79,159.08679766039893,2484,24.84
h2_L0.5_S2.0_1x,2,0.5,2.0,False,3.7906877734021895,43.31623316364517,15.925888435971247,-0.01149377854817768,0.79,159.08679766039893,2484,24.84
h8_L0.5_S1.0_1x,8,0.5,1.0,False,11.394957065387956,441.23485092829253,15.806335459270315,-0.027024877154091964,0.73,258.07138799430254,1446,14.46
h2_L0.5_S1.5_1x,2,0.5,1.5,False,3.800681586503674,43.54028810002578,15.718131712710418,-0.01149377854817768,0.79,159.33258862165331,2522,25.22
h8_L1.0_LO_1x,8,1.0,999.0,False,3.692557327454834,41.15132203979828,15.141910034148374,-0.013980442542620208,0.87,157.06088681579257,529,5.29
h5_L0.5_S1.0_1x,5,0.5,1.0,False,5.994541525255807,109.7432824360979,15.07568735092412,-0.01977395276686733,0.76,198.46690627263803,1928,19.28
h8_L1.0_S2.0_1x,8,1.0,2.0,False,3.6464299044544273,40.15559865263897,14.949837552348876,-0.01398044254262032,0.86,156.07454507473577,529,5.29
h2_L0.7_LO_sc,2,0.7,999.0,True,4.9683422950306415,74.43380400321874,14.849028239648792,-0.0125668889357623,0.83,182.00826365291582,1627,16.27
h2_L0.7_S2.0_sc,2,0.7,2.0,True,4.9683422950306415,74.43380400321874,14.849028239648792,-0.0125668889357623,0.83,182.00826365291582,1627,16.27
h2_L0.7_S1.5_sc,2,0.7,1.5,True,4.991749428494383,75.15173742856953,14.520036010041954,-0.0125668889357623,0.83,182.49228355449063,1665,16.65
h8_L1.0_LO_sc,8,1.0,999.0,True,5.342127209612611,86.37930299252235,14.503736180857794,-0.016646323655057582,0.86,188.39269462165365,528,5.28
h8_L1.0_S2.0_sc,8,1.0,2.0,True,5.260726058885875,83.68993069589227,14.302970707101762,-0.016646323655057693,0.85,187.10590037188,528,5.28
h3_L0.5_S1.0_sc,3,0.5,1.0,True,16.901388549121165,1075.4301660922927,14.205973866701076,-0.03176116066603052,0.69,297.7778152939443,2419,24.19
h2_L0.7_LO_1x,2,0.7,999.0,False,1.946483279218378,12.668335607119486,14.196606013611948,-0.010175398904604838,0.83,109.35339931740552,1669,16.69
h2_L0.7_S2.0_1x,2,0.7,2.0,False,1.946483279218378,12.668335607119486,14.196606013611948,-0.010175398904604838,0.83,109.35339931740552,1669,16.69
h5_L1.0_LO_1x,5,1.0,999.0,False,2.06834979605978,14.076821086994793,13.886900906254981,-0.011425515978787382,0.87,113.53234478521476,597,5.97
h5_L1.0_S2.0_1x,5,1.0,2.0,False,2.051554421163285,13.877881978601398,13.773709412839564,-0.011425515978787493,0.86,112.98264885055453,598,5.98
h2_L0.5_S1.0_sc,2,0.5,1.0,True,12.200555882652843,514.0307652800349,13.737649188094908,-0.019562817003471067,0.73,265.6887494647948,3066,30.66
h2_L0.7_S1.5_1x,2,0.7,1.5,False,1.901368164985373,12.167365060198925,13.52777792691708,-0.012231795562231529,0.82,107.84299682333602,1691,16.91
h5_L1.0_LO_sc,5,1.0,999.0,True,2.991910639099922,27.50083357672033,13.510054025345417,-0.015236364709975692,0.87,140.64988140883048,588,5.88
h5_L1.0_S2.0_sc,5,1.0,2.0,True,2.9639358479105935,27.019889212826886,13.395656043151837,-0.01523636470997558,0.86,139.94593031053589,589,5.89
h8_L1.0_S1.5_1x,8,1.0,1.5,False,3.3133804938407705,33.37628992194302,13.386236382750251,-0.01398044254262032,0.82,148.69291882015563,538,5.38
h3_L1.0_LO_1x,3,1.0,999.0,False,0.9867618733449635,4.2663883028933665,13.039546306148095,-0.00866688100498525,0.84,69.22299138797939,661,6.61
h3_L1.0_S2.0_1x,3,1.0,2.0,False,0.9804578333697933,4.226040274454347,12.961457541252196,-0.00866688100498525,0.84,68.90393348971521,662,6.62
h8_L1.0_S1.5_sc,8,1.0,1.5,True,4.735553138268329,67.509728227501,12.765938616018346,-0.016646323655057693,0.81,178.4653967968059,537,5.37
h3_L1.0_LO_sc,3,1.0,999.0,True,1.3748320558166798,7.1102011163488825,12.313733161443256,-0.011007276418588341,0.82,87.46470542046752,636,6.36
h3_L1.0_S2.0_sc,3,1.0,2.0,True,1.365321115108272,7.0318217779308565,12.237183530824145,-0.011007276418588341,0.82,87.06188452147603,637,6.37
