etf_code,date,datetime,minute_idx,fwd_ret_1m,horizon_min,pred_ret,pred_dir,confidence,signed_ret_bps,net_signed_ret_bps,fwd_ret_2m,fwd_ret_3m,fwd_ret_4m,fwd_ret_5m,breadth_diff_1,ret_oc,gap_abs,open30_flip_rate,open30_abs_bdiff_mean,open30_trendness,pred_sign,breadth_sign,breadth_align,diverge_now
510300.XSHG,2024-01-24,2024-01-24 13:25:00,144,,5,0.0014411948320659017,1.0,0.0014998106238073249,62.500203451713254,56.500203451713254,,,,0.006250020345171326,641.0,-0.0031298930089277044,0.12836138663050006,0.6,1932.2758620689656,0.49961449437685324,1.0,1.0,True,True
510300.XSHG,2024-02-02,2024-02-02 11:18:00,107,,5,0.0014223066821397983,1.0,0.0014788795825921028,31.201273362434566,25.201273362434566,,,,0.0031201273362434566,139.0,-0.0031201273362435225,0.43997487756091613,0.6333333333333333,2104.896551724138,0.3333333333333296,1.0,1.0,True,True
510300.XSHG,2024-02-02,2024-02-02 14:52:00,231,,5,0.0014576302734159493,1.0,0.0015156081859081867,31.397200046676247,25.397200046676247,,,,0.0031397200046676247,614.0,-0.003139720004667641,0.2152736002695733,0.6333333333333333,2104.896551724138,0.3333333333333296,1.0,1.0,True,True
510300.XSHG,2024-02-06,2024-02-06 10:57:00,86,,5,0.0014316612468876445,1.0,0.0014816300354830612,0.0,-6.0,,,,0.0,336.0,-0.0030721990369701403,0.41710409871033644,0.5333333333333333,2204.9655172413795,0.2949778728193409,1.0,1.0,True,True
510300.XSHG,2024-02-07,2024-02-07 10:48:00,77,,5,0.001356832190655396,1.0,0.0014031732681274768,0.0,-6.0,,,,0.0,62.0,-0.0029985029962565574,0.25047848035340065,0.6333333333333333,2115.0344827586205,0.4285729142720753,1.0,1.0,True,True
510300.XSHG,2024-02-07,2024-02-07 11:22:00,111,,5,0.0013745796617981617,1.0,0.0014215268841869274,0.0,-6.0,,,,0.0,844.0,-0.0030075210639553284,0.18739404602713183,0.6333333333333333,2115.0344827586205,0.4285729142720753,1.0,1.0,True,True
510300.XSHG,2024-02-20,2024-02-20 13:33:00,152,,5,0.0013796142808532137,1.0,0.0014245715721137734,0.0,-6.0,,,,0.0,1057.0,-0.00295421189743152,0.16387562949673334,0.5,1735.3793103448277,0.33333333333334597,1.0,1.0,True,True
510300.XSHG,2024-02-20,2024-02-20 14:52:00,231,,5,0.0013713054928926006,1.0,0.0014159920268802387,0.0,-6.0,,,,0.0,419.0,-0.002936859673309825,0.1981596744954781,0.5,1735.3793103448277,0.33333333333334597,1.0,1.0,True,True
510300.XSHG,2024-02-21,2024-02-21 10:50:00,79,,5,0.0013184063476255222,1.0,0.0013611891407654011,0.0,-6.0,,,,0.0,1353.0,-0.0028943580263644146,0.15081623527694477,0.5666666666666667,1397.4827586206898,0.20023522527286483,1.0,1.0,True,True
510300.XSHG,2024-02-21,2024-02-21 14:50:00,229,,5,0.0014106476951014795,1.0,0.0014564237554499965,0.0,-6.0,,,,0.0,463.0,-0.0028943580263644146,0.29277824820038323,0.5666666666666667,1397.4827586206898,0.20023522527286483,1.0,1.0,True,True
510300.XSHG,2024-02-22,2024-02-22 10:08:00,37,,5,0.0014264103167830296,1.0,0.0014723315166457068,0.0,-6.0,,,,0.0,1041.0,-0.0028943580263644146,0.4486427479066687,0.4,1732.3103448275863,0.1432114078092757,1.0,1.0,True,True
510300.XSHG,2024-02-22,2024-02-22 14:04:00,183,,5,0.0013770684193944803,1.0,0.0014214011288312795,28.86004889135073,22.86004889135073,,,,0.002886004889135073,1768.0,-0.0028860048891349867,0.2645900084259228,0.4,1732.3103448275863,0.1432114078092757,1.0,1.0,True,True
510300.XSHG,2024-02-28,2024-02-28 10:08:00,37,,5,0.0014196887267996106,1.0,0.0014652922788958719,28.61232281032195,22.61232281032195,,,,0.002861232281032195,238.0,-0.0028612322810321234,0.6637401772726093,0.5666666666666667,1515.5172413793102,0.14262328594976453,1.0,1.0,True,True
510300.XSHG,2024-02-28,2024-02-28 10:57:00,86,,5,0.001400935064430481,1.0,0.0014459362072783615,0.0,-6.0,,,,0.0,1434.0,-0.0028612322810321234,0.45093673169704146,0.5666666666666667,1515.5172413793102,0.14262328594976453,1.0,1.0,True,True
