label,hold,th_long_mult,th_short_mult,scaled,ret,sharpe,dd,wr,avg_bps,trades,trades_per_day
h3_L1.0_S1.5_1x,3,1.0,1.5,False,0.368962788767051,6.828361866855646,-0.015349023299975673,0.69,31.71346000496553,707,7.07
h2_L0.5_S1.5_1x,2,0.5,1.5,False,0.5944124165425217,6.808207919835055,-0.03804079771812652,0.55,47.3400860323596,2113,21.13
h3_L1.0_LO_1x,3,1.0,999.0,False,0.3590097015914324,6.789208625947372,-0.013408804310444777,0.71,30.97243095540317,668,6.68
h3_L1.0_S1.5_sc,3,1.0,1.5,True,0.49906872591825024,6.68303432864645,-0.019702921739599533,0.67,41.01553768849598,686,6.86
h8_L0.7_S1.0_1x,8,0.7,1.0,False,0.9612328006724937,6.327404279667118,-0.047216739744888936,0.51,69.00215411380381,1046,10.46
h2_L0.7_LO_1x,2,0.7,999.0,False,0.412243170360201,6.324684598293492,-0.02537919060373306,0.62,34.944738950626196,1488,14.88
h2_L0.7_S1.5_1x,2,0.7,1.5,False,0.39179226655039945,6.045995508819037,-0.025169399443380924,0.61,33.482785698830135,1507,15.07
h2_L0.5_S1.0_sc,2,0.5,1.0,True,1.0125131072135036,5.906599985108177,-0.04070419313457585,0.46,71.93527997587822,2072,20.72
h2_L1.0_LO_sc,2,1.0,999.0,True,0.25152147261981384,5.437894087175573,-0.021271486673156814,0.66,22.670249798861743,704,7.04
h1_L0.5_LO_sc,1,0.5,999.0,True,0.47645596556235925,5.26707017962499,-0.03229818043854016,0.52,39.716867785852365,2353,23.53
h1_L0.5_S1.5_sc,1,0.5,1.5,True,0.47337606334045446,5.233498231360669,-0.030525804866541106,0.52,39.508682367009676,2370,23.7
h5_L0.7_S1.0_1x,5,0.7,1.0,False,0.5313528015325557,5.20512460270422,-0.057100397751408516,0.52,43.542833636049515,1364,13.64
h2_L1.0_S1.5_sc,2,1.0,1.5,True,0.24515740422569765,5.164976602838835,-0.018834976163460637,0.63,22.171847258271004,740,7.4
h3_L0.7_S1.0_sc,3,0.7,1.0,True,0.5563535176436578,4.498093111371601,-0.06571945185351502,0.49,45.53883788232394,1562,15.62
h3_L0.5_S1.0_1x,3,0.5,1.0,False,0.35560019541665566,4.192854341583121,-0.03788679305615661,0.47,31.12956742631127,2105,21.05
h8_L1.5_LO_1x,8,1.5,999.0,False,0.1665913857607475,4.175063456427158,-0.012144192001065535,0.27,15.587243216160479,88,0.88
h2_L1.0_LO_1x,2,1.0,999.0,False,0.1396730465137237,4.031493734432329,-0.01860767931622176,0.61,13.212295558073981,732,7.32
h2_L1.0_S1.5_1x,2,1.0,1.5,False,0.13404506939749883,3.774140366522169,-0.020105170346550683,0.59,12.724125512390355,768,7.68
h8_L1.5_LO_sc,8,1.5,999.0,True,0.23846964081400412,3.6496727108361373,-0.018377133216897157,0.27,21.83054634534209,86,0.86
h5_L1.5_LO_sc,5,1.5,999.0,True,0.11097523052335934,3.2500072163748475,-0.009358707953242007,0.27,10.65776431204456,95,0.95
h5_L1.5_LO_1x,5,1.5,999.0,False,0.0781926320013393,2.9460418838333404,-0.008794475850147476,0.27,7.611416149955713,95,0.95
h8_L1.5_S1.5_sc,8,1.5,1.5,True,0.15926216921088576,2.275615998778691,-0.03790856700134593,0.26,15.32324650263685,117,1.17
h1_L0.7_LO_sc,1,0.7,999.0,True,0.11830787708733626,2.265473660599473,-0.026453635626900618,0.51,11.495613600710074,1693,16.93
h3_L1.5_LO_sc,3,1.5,999.0,True,0.05971011951127636,2.2437037685630115,-0.016356309490550558,0.24,5.8837659655998165,93,0.93
h8_L1.5_S1.5_1x,8,1.5,1.5,False,0.10028458254698869,2.144301885432946,-0.031522866393488,0.26,9.811700140193503,119,1.19
h1_L0.7_S1.5_sc,1,0.7,1.5,True,0.11063087077813538,2.1065673565355434,-0.026453635626900618,0.52,10.813187572161265,1719,17.19
h5_L1.5_S1.5_sc,5,1.5,1.5,True,0.07366278273706217,1.8754105384271078,-0.022010084684004005,0.28,7.290869207148977,133,1.33
h2_L0.7_S1.0_sc,2,0.7,1.0,True,0.1374311671410553,1.8418643591734183,-0.058911782702566695,0.38,13.529744618354792,1623,16.23
h3_L1.5_S1.5_sc,3,1.5,1.5,True,0.05416137131163734,1.8309824177570326,-0.02350226356739782,0.27,5.379590846001641,146,1.46
h3_L1.5_LO_1x,3,1.5,999.0,False,0.030505280855770422,1.6091736905296787,-0.0150200050661915,0.26,3.048594763185915,93,0.93
h5_L1.5_S1.5_1x,5,1.5,1.5,False,0.04566783230965288,1.4586000015649305,-0.019172537082727925,0.28,4.585034890960259,133,1.33
h3_L1.5_S1.5_1x,3,1.5,1.5,False,0.02447728991848197,1.0818080534246184,-0.021544950810509444,0.27,2.4819034008267793,146,1.46
h1_L1.0_LO_sc,1,1.0,999.0,True,0.02695829904165814,0.7697055111394434,-0.02366060806450354,0.5,2.8211317804701896,844,8.44
h1_L1.5_LO_sc,1,1.5,999.0,True,0.005465526528822151,0.49004051494520795,-0.007626963924049046,0.22,0.5608640388170835,96,0.96
h3_L0.7_S1.0_1x,3,0.7,1.0,False,0.024267214267294834,0.4613166878711648,-0.08971893553062993,0.37,2.8557540312278453,1611,16.11
h1_L1.0_S1.5_sc,1,1.0,1.5,True,0.0147102115077129,0.4316267245351451,-0.02769653697096086,0.47,1.6312364077355739,868,8.68
h2_L1.5_LO_sc,2,1.5,999.0,True,0.00482388883103102,0.36480144643666057,-0.02091059244280491,0.21,0.5043626788489514,94,0.94
h2_L0.5_S1.0_1x,2,0.5,1.0,False,0.013610255754359368,0.30932332175925686,-0.06029480664610132,0.38,1.726565249030798,2178,21.78
h1_L1.5_S1.5_sc,1,1.5,1.5,True,-0.004647662268898012,-0.32742978395586647,-0.01504259344939518,0.24,-0.4436757011656855,140,1.4
h1_L0.5_S1.0_sc,1,0.5,1.0,True,-0.04379192780743102,-0.5635458867966641,-0.08952780634454494,0.31,-3.9073000532553803,2405,24.05
h2_L1.5_LO_1x,2,1.5,999.0,False,-0.008422097342617785,-0.6441431753186473,-0.0213539953488191,0.21,-0.8258310581382079,95,0.95
h2_L1.5_S1.5_sc,2,1.5,1.5,True,-0.014835666257983049,-0.823379939336351,-0.025823482880529047,0.22,-1.4567450011988603,138,1.38
h1_L1.5_LO_1x,1,1.5,999.0,False,-0.009339247942666495,-1.255423611495532,-0.009363493367463005,0.22,-0.9316055301595493,96,0.96
