trade_no,date,entry_time,exit_time,direction,size,entry_signal_z,exit_signal_z,entry_price,exit_price,gross_bps,cost_bps,net_bps,result,cum_pnl_bps,approx_pnl_yuan,index_from_open_bps
56,2026-01-19,13:58,13:59,LONG,3.0,1.61,-0.01,1.08762,1.088002,3.51,4.5,6.03,WIN,-37.34,706.0,880.02
57,2026-01-19,14:02,14:03,LONG,2.47,1.24,-0.89,1.089507,1.088243,-11.61,4.5,-33.21,LOSS,-70.56,-3886.0,882.43
1,2026-01-20,10:10,10:11,LONG,1.84,0.92,-0.62,0.993118,0.992013,-11.13,4.5,-24.95,LOSS,-24.95,-2919.0,-79.87
2,2026-01-20,10:14,10:15,LONG,1.68,0.84,-0.89,0.988904,0.987099,-18.24,4.5,-35.19,LOSS,-60.14,-4117.0,-129.01
1,2026-01-21,09:43,09:44,LONG,1.62,0.81,-0.43,1.020022,1.018786,-12.12,4.5,-24.12,LOSS,-24.12,-2822.0,187.86
2,2026-01-21,09:52,09:53,LONG,1.02,0.51,-0.32,1.02376,1.024134,3.66,4.5,-0.77,LOSS,-24.89,-90.0,241.34
3,2026-01-21,10:02,10:03,LONG,1.04,0.52,0.53,1.029624,1.032001,23.09,4.5,19.57,WIN,-5.32,2290.0,320.01
4,2026-01-21,10:03,10:04,LONG,1.07,0.53,-0.51,1.032001,1.031948,-0.52,4.5,-5.05,LOSS,-10.37,-591.0,319.48
5,2026-01-21,10:11,10:12,LONG,1.61,0.81,-0.46,1.046118,1.048008,18.07,4.5,24.6,WIN,14.22,2878.0,480.08
6,2026-01-21,10:14,10:15,SHORT,1.15,-1.15,-0.09,1.049245,1.051248,-19.09,4.5,-26.49,LOSS,-12.27,-3099.0,512.48
7,2026-01-21,10:26,10:27,LONG,2.17,1.08,-0.74,1.056664,1.056181,-4.57,4.5,-14.42,LOSS,-26.68,-1687.0,561.81
8,2026-01-21,10:30,10:31,LONG,1.24,0.62,-0.57,1.061522,1.060286,-11.64,4.5,-18.93,LOSS,-45.61,-2215.0,602.86
9,2026-01-21,10:32,10:33,SHORT,1.11,-1.11,-0.42,1.059952,1.059722,2.17,4.5,-2.1,LOSS,-47.71,-245.0,597.22
10,2026-01-21,10:34,10:35,LONG,1.08,0.54,-0.34,1.061925,1.062506,5.48,4.5,1.43,WIN,-46.28,167.0,625.06
11,2026-01-21,10:37,10:38,LONG,1.61,0.8,-0.86,1.063689,1.063571,-1.12,4.5,-6.3,LOSS,-52.58,-737.0,635.71
1,2026-01-22,09:54,09:55,LONG,1.59,0.79,-0.16,1.005752,1.00542,-3.31,4.5,-9.75,LOSS,-9.75,-1141.0,54.2
2,2026-01-22,10:07,10:08,LONG,1.72,0.86,0.54,1.006794,1.00968,28.66,4.5,44.87,WIN,35.11,5250.0,96.8
3,2026-01-22,10:08,10:09,LONG,1.07,0.54,-0.45,1.00968,1.008837,-8.34,4.5,-13.44,LOSS,21.67,-1572.0,88.37
4,2026-01-22,10:21,10:22,LONG,1.51,0.76,-0.39,1.007083,1.007269,1.84,4.5,-1.72,LOSS,19.96,-201.0,72.69
